Average Queue length,Phase,Step,Action,Reward,Total Queue Length
0.575,1.0,0.287,3,-0.07499999999999996,23
0.575,1.0,0.288,3,-0.575,23
0.575,1.0,0.289,3,-0.575,23
0.625,1.0,0.29,3,-0.625,25
0.575,1.0,0.291,3,-0.575,23
0.575,1.0,0.292,3,0.42500000000000004,23
0.575,1.0,0.293,3,-0.575,23
0.575,1.0,0.294,3,-0.575,23
0.575,1.0,0.295,3,-0.575,23
0.575,1.0,0.296,3,-0.575,23
0.575,1.0,0.297,3,-0.575,23
0.625,1.0,0.298,3,-0.625,25
0.575,1.0,0.299,3,0.42500000000000004,23
0.575,1.0,0.3,3,-0.575,23
0.575,1.0,0.301,3,-0.575,23
0.675,1.0,0.302,3,-0.675,27
0.575,1.0,0.303,3,-0.575,23
0.575,1.0,0.304,3,-0.575,23
0.625,1.0,0.305,3,-0.125,25
0.625,1.0,0.306,3,-0.125,25
0.575,1.0,0.307,3,-0.575,23
0.575,1.0,0.308,3,-0.575,23
0.575,1.0,0.309,3,-0.575,23
0.625,1.0,0.31,3,-0.625,25
0.625,1.0,0.311,3,-0.625,25
0.675,1.0,0.312,3,-0.675,27
0.675,1.0,0.313,3,-0.675,27
0.7,1.0,0.314,3,-0.19999999999999996,28
0.725,1.0,0.315,3,-0.22499999999999998,29
0.725,1.0,0.316,3,-0.725,29
0.725,1.0,0.317,3,-0.725,29
0.725,1.0,0.318,3,-0.725,29
0.775,1.0,0.319,3,-0.775,31
0.725,1.0,0.32,3,-0.725,29
0.725,1.0,0.321,3,-0.725,29
0.725,1.0,0.322,3,0.275,29
0.725,1.0,0.323,3,-0.725,29
0.725,1.0,0.324,3,-0.725,29
0.725,1.0,0.325,3,-0.725,29
0.775,1.0,0.326,3,-0.775,31
0.725,1.0,0.327,3,-0.725,29
0.725,1.0,0.328,3,-0.22499999999999998,29
0.725,1.0,0.329,3,-0.22499999999999998,29
0.725,1.0,0.33,3,-0.725,29
0.725,1.0,0.331,3,-0.725,29
0.825,1.0,0.332,3,-0.825,33
0.725,1.0,0.333,3,-0.725,29
0.775,1.0,0.334,3,-0.275,31
0.725,1.0,0.335,3,-0.22499999999999998,29
0.775,1.0,0.336,3,-0.775,31
0.725,1.0,0.337,3,-0.725,29
0.775,1.0,0.338,3,-0.775,31
0.775,1.0,0.339,3,-0.775,31
0.775,1.0,0.34,3,-0.775,31
0.825,1.0,0.341,3,-0.825,33
0.8,1.0,0.342,3,-0.30000000000000004,32
0.875,1.0,0.343,3,-0.375,35
0.875,1.0,0.344,3,-0.875,35
0.875,1.0,0.345,3,-0.875,35
0.875,1.0,0.346,3,-0.875,35
0.875,1.0,0.347,3,-0.875,35
0.925,1.0,0.348,3,-0.925,37
0.875,1.0,0.349,3,-0.875,35
0.875,1.0,0.35,3,-0.375,35
0.875,1.0,0.351,3,-0.375,35
0.875,1.0,0.352,3,-0.875,35
0.875,1.0,0.353,3,-0.875,35
0.875,1.0,0.354,3,-0.875,35
0.925,1.0,0.355,3,-0.925,37
0.875,1.0,0.356,3,-0.875,35
0.875,1.0,0.357,3,0.125,35
0.875,1.0,0.358,3,-0.875,35
0.875,1.0,0.359,3,-0.875,35
0.875,1.0,0.36,3,-0.875,35
0.875,1.0,0.361,3,-0.875,35
0.975,1.0,0.362,3,-0.975,39
0.875,1.0,0.363,3,-0.875,35
0.875,1.0,0.364,3,-0.875,35
0.9,1.0,0.365,3,0.09999999999999998,36
0.95,1.0,0.366,3,-0.95,38
0.875,1.0,0.367,3,-0.875,35
0.875,1.0,0.368,3,-0.875,35
0.9,1.0,0.369,3,-0.9,36
0.975,1.0,0.37,3,-0.975,39
0.975,1.0,0.371,3,0.025000000000000022,39
1.0,1.0,0.372,3,-1.0,40
1.0,1.0,0.373,3,-1.0,40
1.0,1.0,0.374,3,-1.0,40
1.0,1.0,0.375,3,-1.0,40
1.0,1.0,0.376,3,-1.0,40
1.075,1.0,0.377,3,-1.075,43
1.025,1.0,0.378,3,-0.5249999999999999,41
1.025,1.0,0.379,3,-0.5249999999999999,41
1.05,1.0,0.38,3,-1.05,42
1.05,1.0,0.381,3,-1.05,42
1.05,1.0,0.382,3,-1.05,42
1.05,1.0,0.383,3,-1.05,42
1.1,1.0,0.384,3,-1.1,44
1.05,1.0,0.385,3,-1.05,42
1.075,1.0,0.386,3,-0.575,43
1.075,1.0,0.387,3,-1.075,43
1.075,1.0,0.388,3,-1.075,43
1.075,1.0,0.389,3,-1.075,43
1.075,1.0,0.39,3,-1.075,43
1.125,1.0,0.391,3,-1.125,45
1.15,1.0,0.392,3,-1.15,46
1.1,1.0,0.393,3,-0.6000000000000001,44
1.125,1.0,0.394,3,-1.125,45
1.125,1.0,0.395,3,-1.125,45
1.15,1.0,0.396,3,-1.15,46
1.1,1.0,0.397,3,-1.1,44
1.175,1.0,0.398,3,-1.175,47
1.15,1.0,0.399,3,-1.15,46
1.2,1.0,0.4,3,-0.7,48
1.2,1.0,0.401,3,-1.2,48
1.25,1.0,0.402,3,-1.25,50
1.25,1.0,0.403,3,-1.25,50
1.275,1.0,0.404,3,-1.275,51
1.275,1.0,0.405,3,-1.275,51
1.35,1.0,0.406,3,-1.35,54
1.3,1.0,0.407,3,-0.8,52
1.3,1.0,0.408,3,-1.3,52
1.35,1.0,0.409,3,-1.35,54
1.35,1.0,0.41,3,-1.35,54
1.35,1.0,0.411,3,-1.35,54
1.35,1.0,0.412,3,-1.35,54
1.375,1.0,0.413,3,-1.375,55
1.35,1.0,0.414,3,-1.35,54
1.375,1.0,0.415,3,-1.375,55
1.375,1.0,0.416,3,-1.375,55
1.375,1.0,0.417,3,-1.375,55
1.375,1.0,0.418,3,-1.375,55
1.375,1.0,0.419,3,-1.375,55
1.4,1.0,0.42,3,-1.4,56
1.375,1.0,0.421,3,-1.375,55
1.425,1.0,0.422,3,-1.425,57
1.4,1.0,0.423,3,-1.4,56
1.425,1.0,0.424,3,-1.425,57
1.4,1.0,0.425,3,-1.4,56
1.45,1.0,0.426,3,-1.45,58
1.45,1.0,0.427,3,-1.45,58
1.475,1.0,0.428,3,-1.475,59
1.5,1.0,0.429,3,-1.5,60
1.525,1.0,0.43,3,-1.525,61
1.55,1.0,0.431,3,-1.55,62
1.55,1.0,0.432,3,-1.55,62
1.55,1.0,0.433,3,-1.55,62
1.55,1.0,0.434,3,-1.55,62
1.55,1.0,0.435,3,-1.55,62
1.55,1.0,0.436,3,-1.55,62
1.55,1.0,0.437,3,-1.55,62
1.55,1.0,0.438,3,-1.55,62
1.55,1.0,0.439,3,-1.55,62
1.55,1.0,0.44,3,-1.55,62
1.55,1.0,0.441,3,-1.55,62
1.55,1.0,0.442,3,-1.55,62
1.55,1.0,0.443,3,-1.55,62
1.55,1.0,0.444,3,-1.55,62
1.55,1.0,0.445,3,-1.55,62
1.55,1.0,0.446,3,-1.55,62
1.55,1.0,0.447,3,-1.55,62
1.55,1.0,0.448,3,-1.55,62
1.55,1.0,0.449,3,-1.55,62
1.55,1.0,0.45,3,-1.55,62
1.55,1.0,0.451,3,-1.55,62
1.55,1.0,0.452,3,-1.55,62
1.55,1.0,0.453,3,-1.55,62
1.55,1.0,0.454,3,-1.55,62
