Queue length,Phase,Step,Action,Reward,Total Queue Length
0.0,1.0,0.179,3,0.0,0.0
0.0,0.6666667,0.18,2,0.0,0.0
0.0,0.6666667,0.181,2,0.0,0.0
0.1,1.0,0.182,3,-0.2,0.5
0.0,1.0,0.183,3,0.0,0.0
0.0,0.6666667,0.184,2,0.0,0.0
0.025,0.33333334,0.185,1,-0.2,0.125
0.05,1.0,0.186,3,-0.2,0.25
0.0,0.6666667,0.187,2,0.0,0.0
0.0,0.6666667,0.188,2,0.0,0.0
0.0,1.0,0.189,3,0.0,0.0
0.0,0.6666667,0.19,2,0.0,0.0
0.0,0.6666667,0.191,2,0.0,0.0
0.0,1.0,0.192,3,0.0,0.0
0.0,0.6666667,0.193,2,0.0,0.0
0.05,0.33333334,0.194,1,-0.2,0.25
0.0,1.0,0.195,3,0.0,0.0
0.025,0.33333334,0.196,1,-0.2,0.125
0.0,1.0,0.197,3,0.0,0.0
0.075,0.0,0.198,0,-0.2,0.375
0.025,0.6666667,0.199,2,-0.2,0.125
0.025,0.0,0.2,0,-0.2,0.125
0.025,0.6666667,0.201,2,-0.2,0.125
0.0,0.6666667,0.202,2,0.0,0.0
0.0,0.6666667,0.203,2,0.0,0.0
0.0,1.0,0.204,3,0.0,0.0
0.0,0.6666667,0.205,2,0.0,0.0
0.0,0.6666667,0.206,2,0.0,0.0
0.0,1.0,0.207,3,0.0,0.0
0.0,1.0,0.208,3,0.0,0.0
0.0,0.6666667,0.209,2,0.0,0.0
0.0,1.0,0.21,3,0.0,0.0
0.0,1.0,0.211,3,0.0,0.0
0.1,1.0,0.212,3,-0.2,0.5
0.0,1.0,0.213,3,0.0,0.0
0.0,1.0,0.214,3,0.0,0.0
0.025,1.0,0.215,3,-0.2,0.125
0.05,0.33333334,0.216,1,-0.2,0.25
0.0,1.0,0.217,3,0.0,0.0
0.0,1.0,0.218,3,0.0,0.0
0.0,0.6666667,0.219,2,0.0,0.0
0.0,1.0,0.22,3,0.0,0.0
0.0,0.6666667,0.221,2,0.0,0.0
0.025,1.0,0.222,3,-0.2,0.125
0.0,0.6666667,0.223,2,0.0,0.0
0.0,0.6666667,0.224,2,0.0,0.0
0.025,0.0,0.225,0,-0.2,0.125
0.05,0.33333334,0.226,1,-0.2,0.25
0.025,0.0,0.227,0,-0.2,0.125
0.025,0.33333334,0.228,1,-0.2,0.125
0.0,1.0,0.229,3,0.0,0.0
0.025,0.33333334,0.23,1,-0.2,0.125
0.0,1.0,0.231,3,0.0,0.0
0.0,1.0,0.232,3,0.0,0.0
0.0,0.6666667,0.233,2,0.0,0.0
0.0,0.6666667,0.234,2,0.0,0.0
0.0,0.6666667,0.235,2,0.0,0.0
0.0,1.0,0.236,3,0.0,0.0
0.0,1.0,0.237,3,0.0,0.0
0.0,0.6666667,0.238,2,0.0,0.0
0.0,1.0,0.239,3,0.0,0.0
0.0,0.6666667,0.24,2,0.0,0.0
0.0,0.6666667,0.241,2,0.0,0.0
0.1,1.0,0.242,3,-0.2,0.5
0.0,0.6666667,0.243,2,0.0,0.0
0.0,1.0,0.244,3,0.0,0.0
0.025,0.33333334,0.245,1,-0.2,0.125
0.05,1.0,0.246,3,-0.2,0.25
0.0,0.6666667,0.247,2,0.0,0.0
0.0,1.0,0.248,3,0.0,0.0
0.0,0.6666667,0.249,2,0.0,0.0
0.0,0.6666667,0.25,2,0.0,0.0
0.0,0.6666667,0.251,2,0.0,0.0
0.0,0.6666667,0.252,2,0.0,0.0
0.0,0.6666667,0.253,2,0.0,0.0
0.025,0.33333334,0.254,1,-0.2,0.125
0.025,1.0,0.255,3,-0.2,0.125
0.025,0.0,0.256,0,-0.2,0.125
0.025,1.0,0.257,3,-0.2,0.125
0.05,0.0,0.258,0,-0.2,0.25
0.025,1.0,0.259,3,-0.2,0.125
0.05,1.0,0.26,3,-0.2,0.25
0.025,0.6666667,0.261,2,-0.2,0.125
0.0,0.6666667,0.262,2,0.0,0.0
0.0,0.6666667,0.263,2,0.0,0.0
0.0,0.6666667,0.264,2,0.0,0.0
0.0,0.6666667,0.265,2,0.0,0.0
0.0,1.0,0.266,3,0.0,0.0
0.0,0.6666667,0.267,2,0.0,0.0
0.0,0.6666667,0.268,2,0.0,0.0
0.0,0.6666667,0.269,2,0.0,0.0
0.0,0.6666667,0.27,2,0.0,0.0
0.0,0.6666667,0.271,2,0.0,0.0
0.1,1.0,0.272,3,-0.2,0.5
0.0,0.6666667,0.273,2,0.0,0.0
0.0,0.6666667,0.274,2,0.0,0.0
0.0,0.6666667,0.275,2,0.0,0.0
0.075,0.33333334,0.276,1,-0.2,0.375
0.0,1.0,0.277,3,0.0,0.0
0.0,0.6666667,0.278,2,0.0,0.0
0.0,0.6666667,0.279,2,0.0,0.0
0.0,0.6666667,0.28,2,0.0,0.0
0.0,1.0,0.281,3,0.0,0.0
0.0,1.0,0.282,3,0.0,0.0
0.0,0.6666667,0.283,2,0.0,0.0
0.025,0.33333334,0.284,1,-0.2,0.125
0.0,0.6666667,0.285,2,0.0,0.0
0.05,0.0,0.286,0,-0.2,0.25
0.025,0.33333334,0.287,1,-0.2,0.125
0.05,0.0,0.288,0,-0.2,0.25
0.025,0.6666667,0.289,2,-0.2,0.125
0.0,0.6666667,0.29,2,0.0,0.0
0.0,1.0,0.291,3,0.0,0.0
0.0,0.6666667,0.292,2,0.0,0.0
0.0,0.6666667,0.293,2,0.0,0.0
0.0,0.6666667,0.294,2,0.0,0.0
0.0,0.6666667,0.295,2,0.0,0.0
0.0,0.6666667,0.296,2,0.0,0.0
0.0,0.6666667,0.297,2,0.0,0.0
0.0,1.0,0.298,3,0.0,0.0
0.0,0.6666667,0.299,2,0.0,0.0
0.0,0.6666667,0.3,2,0.0,0.0
0.0,0.6666667,0.301,2,0.0,0.0
0.1,0.33333334,0.302,1,-0.2,0.5
0.0,0.6666667,0.303,2,0.0,0.0
0.0,0.6666667,0.304,2,0.0,0.0
0.025,0.33333334,0.305,1,-0.2,0.125
0.05,1.0,0.306,3,-0.2,0.25
0.0,0.6666667,0.307,2,0.0,0.0
0.0,0.6666667,0.308,2,0.0,0.0
0.0,1.0,0.309,3,0.0,0.0
0.0,0.6666667,0.31,2,0.0,0.0
0.0,0.6666667,0.311,2,0.0,0.0
0.0,0.6666667,0.312,2,0.0,0.0
0.0,0.6666667,0.313,2,0.0,0.0
0.0,1.0,0.314,3,0.0,0.0
0.025,0.33333334,0.315,1,-0.2,0.125
0.025,0.0,0.316,0,-0.2,0.125
0.05,0.33333334,0.317,1,-0.2,0.25
0.025,0.0,0.318,0,-0.2,0.125
0.05,0.6666667,0.319,2,-0.2,0.25
0.05,0.0,0.32,0,-0.2,0.25
0.05,0.33333334,0.321,1,-0.2,0.25
0.025,0.6666667,0.322,2,-0.2,0.125
0.0,1.0,0.323,3,0.0,0.0
0.025,0.6666667,0.324,2,-0.2,0.125
0.025,0.6666667,0.325,2,-0.2,0.125
0.0,0.6666667,0.326,2,0.0,0.0
0.0,0.6666667,0.327,2,0.0,0.0
0.0,0.6666667,0.328,2,0.0,0.0
0.0,0.6666667,0.329,2,0.0,0.0
0.0,0.6666667,0.33,2,0.0,0.0
0.0,1.0,0.331,3,0.0,0.0
0.1,1.0,0.332,3,-0.2,0.5
0.0,0.6666667,0.333,2,0.0,0.0
0.0,0.6666667,0.334,2,0.0,0.0
0.0,0.6666667,0.335,2,0.0,0.0
0.075,0.33333334,0.336,1,-0.2,0.375
0.0,1.0,0.337,3,0.0,0.0
0.0,0.6666667,0.338,2,0.0,0.0
0.0,0.6666667,0.339,2,0.0,0.0
0.0,0.6666667,0.34,2,0.0,0.0
0.0,0.6666667,0.341,2,0.0,0.0
0.0,0.6666667,0.342,2,0.0,0.0
0.0,1.0,0.343,3,0.0,0.0
0.025,0.33333334,0.344,1,-0.2,0.125
0.0,0.6666667,0.345,2,0.0,0.0
0.075,0.33333334,0.346,1,-0.2,0.375
0.05,0.0,0.347,0,-0.2,0.25
0.025,0.33333334,0.348,1,-0.2,0.125
0.025,0.33333334,0.349,1,-0.2,0.125
0.0,1.0,0.35,3,0.0,0.0
0.0,0.6666667,0.351,2,0.0,0.0
0.0,0.6666667,0.352,2,0.0,0.0
0.0,0.6666667,0.353,2,0.0,0.0
0.0,0.6666667,0.354,2,0.0,0.0
0.0,0.6666667,0.355,2,0.0,0.0
0.0,0.6666667,0.356,2,0.0,0.0
0.0,0.6666667,0.357,2,0.0,0.0
0.0,0.6666667,0.358,2,0.0,0.0
0.0,0.6666667,0.359,2,0.0,0.0
0.0,0.6666667,0.36,2,0.0,0.0
0.0,0.6666667,0.361,2,0.0,0.0
0.1,1.0,0.362,3,-0.2,0.5
0.0,0.6666667,0.363,2,0.0,0.0
0.0,0.6666667,0.364,2,0.0,0.0
0.0,0.6666667,0.365,2,0.0,0.0
0.075,0.33333334,0.366,1,-0.2,0.375
0.0,0.6666667,0.367,2,0.0,0.0
0.0,0.6666667,0.368,2,0.0,0.0
0.0,0.6666667,0.369,2,0.0,0.0
0.0,0.6666667,0.37,2,0.0,0.0
0.0,0.6666667,0.371,2,0.0,0.0
0.0,0.6666667,0.372,2,0.0,0.0
0.0,0.6666667,0.373,2,0.0,0.0
0.025,1.0,0.374,3,-0.2,0.125
0.05,0.33333334,0.375,1,-0.2,0.25
0.025,1.0,0.376,3,-0.2,0.125
0.05,1.0,0.377,3,-0.2,0.25
0.05,0.0,0.378,0,-0.2,0.25
0.05,0.33333334,0.379,1,-0.2,0.25
0.1,0.0,0.38,0,-0.2,0.5
0.075,0.0,0.381,0,-0.2,0.375
0.1,0.0,0.382,0,-0.2,0.5
0.075,0.0,0.383,0,-0.2,0.375
0.05,0.6666667,0.384,2,-0.2,0.25
0.025,0.33333334,0.385,1,-0.2,0.125
0.025,0.6666667,0.386,2,-0.2,0.125
0.0,0.6666667,0.387,2,0.0,0.0
0.0,0.6666667,0.388,2,0.0,0.0
0.025,0.6666667,0.389,2,-0.2,0.125
0.025,0.6666667,0.39,2,-0.2,0.125
0.0,0.6666667,0.391,2,0.0,0.0
0.1,0.33333334,0.392,1,-0.2,0.5
0.0,0.6666667,0.393,2,0.0,0.0
0.0,0.6666667,0.394,2,0.0,0.0
0.0,0.6666667,0.395,2,0.0,0.0
0.075,0.33333334,0.396,1,-0.2,0.375
0.0,0.6666667,0.397,2,0.0,0.0
0.0,0.6666667,0.398,2,0.0,0.0
0.0,0.6666667,0.399,2,0.0,0.0
0.0,0.6666667,0.4,2,0.0,0.0
0.0,0.6666667,0.401,2,0.0,0.0
0.0,0.6666667,0.402,2,0.0,0.0
0.0,1.0,0.403,3,0.0,0.0
0.025,0.33333334,0.404,1,-0.2,0.125
0.0,0.6666667,0.405,2,0.0,0.0
0.05,0.33333334,0.406,1,-0.2,0.25
0.025,0.0,0.407,0,-0.2,0.125
0.025,0.33333334,0.408,1,-0.2,0.125
0.05,0.33333334,0.409,1,-0.2,0.25
0.025,0.0,0.41,0,-0.2,0.125
0.0,0.6666667,0.411,2,0.0,0.0
0.0,0.6666667,0.412,2,0.0,0.0
0.0,0.6666667,0.413,2,0.0,0.0
0.0,0.6666667,0.414,2,0.0,0.0
0.0,0.6666667,0.415,2,0.0,0.0
0.0,0.6666667,0.416,2,0.0,0.0
0.0,0.6666667,0.417,2,0.0,0.0
0.0,0.6666667,0.418,2,0.0,0.0
0.0,0.6666667,0.419,2,0.0,0.0
0.0,0.6666667,0.42,2,0.0,0.0
0.0,0.6666667,0.421,2,0.0,0.0
0.1,1.0,0.422,3,-0.2,0.5
0.0,0.6666667,0.423,2,0.0,0.0
0.0,0.6666667,0.424,2,0.0,0.0
0.0,0.6666667,0.425,2,0.0,0.0
0.075,0.33333334,0.426,1,-0.2,0.375
0.0,0.6666667,0.427,2,0.0,0.0
0.0,0.6666667,0.428,2,0.0,0.0
0.0,0.6666667,0.429,2,0.0,0.0
0.0,0.6666667,0.43,2,0.0,0.0
0.0,0.6666667,0.431,2,0.0,0.0
0.0,0.6666667,0.432,2,0.0,0.0
0.0,0.6666667,0.433,2,0.0,0.0
0.025,0.33333334,0.434,1,-0.2,0.125
0.025,1.0,0.435,3,-0.2,0.125
0.025,0.33333334,0.436,1,-0.2,0.125
0.075,0.0,0.437,0,-0.2,0.375
0.05,1.0,0.438,3,-0.2,0.25
0.05,0.0,0.439,0,-0.2,0.25
0.05,1.0,0.44,3,-0.2,0.25
0.05,1.0,0.441,3,-0.2,0.25
0.05,1.0,0.442,3,-0.2,0.25
0.025,0.6666667,0.443,2,-0.2,0.125
0.0,0.6666667,0.444,2,0.0,0.0
0.0,0.6666667,0.445,2,0.0,0.0
0.0,0.6666667,0.446,2,0.0,0.0
0.0,0.6666667,0.447,2,0.0,0.0
0.0,1.0,0.448,3,0.0,0.0
0.0,0.6666667,0.449,2,0.0,0.0
0.0,0.6666667,0.45,2,0.0,0.0
0.0,0.6666667,0.451,2,0.0,0.0
0.1,0.33333334,0.452,1,-0.2,0.5
0.0,0.6666667,0.453,2,0.0,0.0
0.0,0.6666667,0.454,2,0.0,0.0
0.0,1.0,0.455,3,0.0,0.0
0.075,0.33333334,0.456,1,-0.2,0.375
