Queue length,Speed,Phase,Step,Action,Reward,Total Queue Length
0.025,6.4935217,0.6666667,0.1961962,2,-0.025,1
0.05,5.8205857,1.0,0.1971972,3,-0.05,1
0.05,5.2949166,1.0,0.1981982,3,-0.05,2
0.05,6.0305448,1.0,0.1991992,3,-0.05,2
0.05,4.08232,1.0,0.2002002,3,-0.05,2
0.05,4.7811007,1.0,0.2012012,3,-0.05,2
0.05,5.4171085,1.0,0.2022022,3,-0.05,2
0.025,5.9916606,0.6666667,0.2032032,2,-0.025,2
0.025,6.2253065,1.0,0.2042042,3,-0.025,1
0.025,4.95692,1.0,0.2052052,3,-0.025,1
0.025,2.2027566,1.0,0.2062062,3,-0.025,1
0.025,2.6053715,0.6666667,0.2072072,2,-0.025,1
0.025,3.1824882,0.6666667,0.2082082,2,-0.025,1
0.025,3.5741813,1.0,0.2092092,3,-0.025,1
0.025,3.9578218,1.0,0.2102102,3,-0.025,1
0.125,1.4516774,0.6666667,0.2112112,2,-0.125,1
0.025,2.457276,0.6666667,0.2122122,2,-0.025,5
0.025,3.3915305,0.6666667,0.21321322,2,-0.025,1
0.025,3.8699841,0.0,0.21421422,0,-0.025,1
0.075,2.4336865,0.6666667,0.21521522,2,-0.075,1
0.0,3.556615,0.0,0.21621622,0,-0.0,3
0.0,4.7501583,0.6666667,0.21721722,2,-0.0,0
0.0,5.9948645,0.6666667,0.21821822,2,-0.0,0
0.0,6.956413,0.6666667,0.21921922,2,-0.0,0
0.0,7.2346687,0.6666667,0.22022022,2,-0.0,0
0.0,6.895196,0.6666667,0.22122122,2,-0.0,0
0.0,6.65503,0.0,0.22222222,0,-0.0,0
0.0,6.1024313,0.0,0.22322322,0,-0.0,0
0.025,5.711576,0.0,0.22422422,0,-0.025,0
0.075,5.2872915,0.0,0.22522523,0,-0.075,1
0.075,4.3722215,0.0,0.22622623,0,-0.075,3
0.1,4.6476636,0.0,0.22722723,0,-0.1,3
0.1,3.775454,0.0,0.22822823,0,-0.1,4
0.1,4.095515,0.0,0.22922923,0,-0.1,4
0.1,4.2010455,0.0,0.23023023,0,-0.1,4
0.1,2.6220846,0.0,0.23123123,0,-0.1,4
0.1,0.0,0.0,0.23223223,0,-0.1,4
0.05,0.6165526,0.33333334,0.23323323,1,-0.05,4
0.05,1.2939821,0.33333334,0.23423423,1,-0.05,2
0.05,1.8434806,0.33333334,0.23523523,1,-0.05,2
0.05,2.3752663,0.0,0.23623623,0,-0.05,2
0.025,3.2592523,1.0,0.23723723,3,-0.025,2
0.05,3.4697962,0.0,0.23823825,0,-0.05,1
0.025,4.3416514,0.6666667,0.23923925,2,-0.025,2
0.05,4.8149767,0.0,0.24024025,0,-0.05,1
0.15,2.7549112,0.0,0.24124125,0,-0.15,2
0.05,3.6188323,0.0,0.24224225,0,-0.05,6
0.05,4.5594583,0.0,0.24324325,0,-0.05,2
0.05,2.4021866,0.0,0.24424425,0,-0.05,2
0.125,2.132569,0.0,0.24524525,0,-0.125,2
0.025,3.2436247,0.6666667,0.24624625,2,-0.025,5
0.025,4.3453126,0.0,0.24724725,0,-0.025,1
0.0,5.605377,1.0,0.24824825,3,-0.0,1
0.0,6.9495125,0.0,0.24924925,0,-0.0,0
0.0,6.7051053,0.0,0.25025025,0,-0.0,0
0.0,6.5904627,0.33333334,0.25125125,1,-0.0,0
0.025,5.028982,0.0,0.25225225,0,-0.025,0
0.025,4.5211616,0.0,0.25325325,0,-0.025,1
0.075,4.1615314,0.0,0.25425425,0,-0.075,1
0.075,3.9329207,0.0,0.25525525,0,-0.075,3
0.075,4.0515685,0.0,0.25625625,0,-0.075,3
0.1,3.3703995,0.0,0.25725725,0,-0.1,3
0.075,3.9444916,1.0,0.25825825,3,-0.075,4
0.075,3.3039384,1.0,0.25925925,3,-0.075,3
0.075,3.9609716,1.0,0.26026025,3,-0.075,3
0.05,3.0303948,0.33333334,0.26126125,1,-0.05,3
0.025,3.84204,0.6666667,0.26226225,2,-0.025,2
0.05,4.5140376,0.33333334,0.26326326,1,-0.05,1
0.05,3.989987,0.33333334,0.26426426,1,-0.05,2
0.05,4.6178126,0.33333334,0.26526526,1,-0.05,2
0.05,5.055045,0.33333334,0.26626626,1,-0.05,2
0.05,5.286823,0.33333334,0.26726726,1,-0.05,2
0.05,4.444236,0.0,0.26826826,0,-0.05,2
0.05,5.051479,0.0,0.26926926,0,-0.05,2
0.05,5.737091,0.0,0.27027026,0,-0.05,2
0.15,1.5913337,0.0,0.27127126,0,-0.15,2
0.05,2.4873898,0.0,0.27227226,0,-0.05,6
0.05,1.6133269,0.0,0.27327326,0,-0.05,2
0.075,1.9672887,0.0,0.27427426,0,-0.075,2
0.1,2.1103556,0.0,0.2752753,0,-0.1,3
0.05,3.0387056,0.0,0.2762763,0,-0.05,4
0.05,4.111675,0.0,0.2772773,0,-0.05,2
0.05,5.019239,0.0,0.2782783,0,-0.05,2
0.05,5.884604,0.0,0.2792793,0,-0.05,2
0.05,5.340426,0.0,0.2802803,0,-0.05,2
0.05,4.4289927,0.0,0.2812813,0,-0.05,2
0.05,3.59957,0.0,0.2822823,0,-0.05,2
0.1,2.6204908,0.0,0.2832833,0,-0.1,2
0.1,2.2640138,1.0,0.2842843,3,-0.1,4
0.1,1.9781836,0.6666667,0.2852853,2,-0.1,4
0.1,2.2370574,1.0,0.2862863,3,-0.1,4
0.125,2.5843291,1.0,0.2872873,3,-0.125,4
0.125,3.004608,1.0,0.2882883,3,-0.125,5
0.125,2.913309,1.0,0.2892893,3,-0.125,5
0.1,2.1625912,0.0,0.2902903,0,-0.1,5
0.125,2.5215416,0.0,0.2912913,0,-0.125,4
0.125,3.0077958,1.0,0.2922923,3,-0.125,5
0.125,3.4232845,0.0,0.2932933,0,-0.125,5
0.075,2.8342378,0.33333334,0.2942943,1,-0.075,5
0.075,1.5759188,0.6666667,0.2952953,2,-0.075,3
0.075,1.8086691,0.6666667,0.2962963,2,-0.075,3
0.075,2.1929502,0.6666667,0.2972973,2,-0.075,3
0.05,2.9744456,0.6666667,0.2982983,2,-0.05,3
0.025,4.011584,0.6666667,0.2992993,2,-0.025,2
0.025,4.969702,0.6666667,0.3003003,2,-0.025,1
0.125,2.4036357,0.0,0.3013013,0,-0.125,1
0.05,2.9131289,0.0,0.3023023,0,-0.05,5
0.05,3.7754548,0.0,0.3033033,0,-0.05,2
0.075,3.8880944,0.6666667,0.3043043,2,-0.075,2
0.05,3.6361263,0.0,0.3053053,0,-0.05,3
0.025,4.59658,0.0,0.3063063,0,-0.025,2
0.025,5.660798,0.0,0.3073073,0,-0.025,1
0.025,6.748541,0.0,0.3083083,0,-0.025,1
0.0,6.7700157,0.33333334,0.3093093,1,-0.0,1
0.0,6.7934356,0.33333334,0.3103103,1,-0.0,0
0.0,6.6325893,0.33333334,0.3113113,1,-0.0,0
0.0,6.0928006,0.33333334,0.3123123,1,-0.0,0
0.0,5.8442125,0.33333334,0.3133133,1,-0.0,0
0.05,5.414046,0.33333334,0.3143143,1,-0.05,0
0.075,5.2935085,0.33333334,0.3153153,1,-0.075,2
0.05,4.8152523,0.6666667,0.3163163,2,-0.05,3
0.05,5.017685,0.6666667,0.3173173,2,-0.05,2
0.075,4.440417,0.33333334,0.3183183,1,-0.075,2
0.075,5.0043774,0.33333334,0.3193193,1,-0.075,3
0.075,4.3697324,0.33333334,0.3203203,1,-0.075,3
0.075,5.005558,0.33333334,0.3213213,1,-0.075,3
0.05,4.029698,1.0,0.3223223,3,-0.05,3
0.05,4.7138896,0.33333334,0.3233233,1,-0.05,2
0.05,5.3501015,0.6666667,0.3243243,2,-0.05,2
0.05,3.8107672,0.6666667,0.32532534,2,-0.05,2
0.05,4.441286,0.6666667,0.32632634,2,-0.05,2
0.05,2.334686,0.6666667,0.32732734,2,-0.05,2
0.05,2.6928732,0.6666667,0.32832834,2,-0.05,2
0.05,3.0673683,0.6666667,0.32932934,2,-0.05,2
0.05,3.3770492,0.6666667,0.33033034,2,-0.05,2
0.1,2.0717406,0.0,0.33133134,0,-0.1,2
0.0,3.2816613,0.6666667,0.33233234,2,-0.0,4
0.0,3.150546,0.6666667,0.33333334,2,-0.0,0
0.0,4.242165,0.6666667,0.33433434,2,-0.0,0
0.075,3.6298475,0.6666667,0.33533534,2,-0.075,0
0.0,4.934715,0.6666667,0.33633634,2,-0.0,3
0.0,6.261822,0.0,0.33733734,0,-0.0,0
0.0,7.4463797,0.6666667,0.33833835,2,-0.0,0
0.0,7.821222,0.6666667,0.33933935,2,-0.0,0
0.0,8.327266,0.6666667,0.34034035,2,-0.0,0
0.0,7.9186344,0.6666667,0.34134135,2,-0.0,0
0.0,5.7527494,0.6666667,0.34234235,2,-0.0,0
0.025,4.414446,0.6666667,0.34334335,2,-0.025,0
0.075,3.9551904,0.6666667,0.34434435,2,-0.075,1
0.1,3.6918552,0.6666667,0.34534535,2,-0.1,3
0.05,3.7695086,0.33333334,0.34634635,1,-0.05,4
0.075,3.7203693,0.6666667,0.34734735,2,-0.075,2
0.1,2.468921,0.6666667,0.34834835,2,-0.1,3
0.075,2.9052658,1.0,0.34934935,3,-0.075,4
0.075,3.3447027,0.33333334,0.35035035,1,-0.075,3
0.075,3.7665453,0.6666667,0.35135135,2,-0.075,3
0.075,2.3343616,0.6666667,0.35235235,2,-0.075,3
0.075,2.7408066,0.33333334,0.35335335,1,-0.075,3
0.05,3.430075,1.0,0.35435435,3,-0.05,3
0.0,4.2896924,0.0,0.35535535,0,-0.0,2
0.05,4.869841,0.6666667,0.35635635,2,-0.05,0
0.05,3.5094073,0.6666667,0.35735735,2,-0.05,2
0.0,4.887778,0.0,0.35835835,0,-0.0,2
0.0,6.1441565,0.6666667,0.35935935,2,-0.0,0
0.0,7.4482307,0.6666667,0.36036035,2,-0.0,0
0.1,2.9825647,0.6666667,0.36136135,2,-0.1,0
0.0,4.3175974,0.0,0.36236235,0,-0.0,4
0.0,5.297612,0.6666667,0.36336336,2,-0.0,0
0.025,5.5038576,1.0,0.36436436,3,-0.025,0
0.05,4.4523396,0.6666667,0.36536536,2,-0.05,1
0.0,5.5932865,0.6666667,0.36636636,2,-0.0,2
0.0,5.6999326,0.6666667,0.36736736,2,-0.0,0
0.0,6.9969697,0.6666667,0.36836836,2,-0.0,0
0.0,7.5030336,0.6666667,0.36936936,2,-0.0,0
0.0,7.2712464,0.6666667,0.37037036,2,-0.0,0
0.0,6.575291,0.6666667,0.37137136,2,-0.0,0
0.0,5.46549,0.6666667,0.37237236,2,-0.0,0
0.025,4.73939,0.6666667,0.37337336,2,-0.025,0
0.075,4.295944,0.6666667,0.37437436,2,-0.075,1
0.1,3.4356782,0.0,0.3753754,0,-0.1,3
0.05,2.869699,0.33333334,0.3763764,1,-0.05,4
0.075,3.335764,0.33333334,0.3773774,1,-0.075,2
0.075,2.115507,0.33333334,0.3783784,1,-0.075,3
0.075,2.758096,0.33333334,0.3793794,1,-0.075,3
0.075,3.409744,0.33333334,0.3803804,1,-0.075,3
0.075,3.8014386,0.33333334,0.3813814,1,-0.075,3
0.05,4.5356374,0.0,0.3823824,0,-0.05,3
0.05,5.102681,0.0,0.3833834,0,-0.05,2
0.025,4.501675,0.6666667,0.3843844,2,-0.025,2
0.025,5.256166,0.0,0.3853854,0,-0.025,1
0.025,5.7637944,0.6666667,0.3863864,2,-0.025,1
0.0,6.5681033,1.0,0.3873874,3,-0.0,1
0.025,3.4838638,0.6666667,0.3883884,2,-0.025,0
0.025,4.3119507,0.0,0.3893894,0,-0.025,1
0.025,5.1339755,0.6666667,0.3903904,2,-0.025,1
0.125,2.5377817,0.6666667,0.3913914,2,-0.125,1
0.025,3.5226903,0.6666667,0.3923924,2,-0.025,5
0.025,2.775677,0.6666667,0.3933934,2,-0.025,1
0.025,3.5843582,0.6666667,0.3943944,2,-0.025,1
0.1,3.1237113,0.6666667,0.3953954,2,-0.1,1
0.025,4.262045,0.6666667,0.3963964,2,-0.025,4
0.025,5.3849792,0.6666667,0.3973974,2,-0.025,1
0.0,5.7667937,1.0,0.3983984,3,-0.0,1
0.0,6.799424,0.6666667,0.3993994,2,-0.0,0
0.0,6.8521852,1.0,0.4004004,3,-0.0,0
0.0,6.396122,0.6666667,0.4014014,2,-0.0,0
0.0,5.029317,0.6666667,0.4024024,2,-0.0,0
0.025,4.0029407,0.6666667,0.4034034,2,-0.025,0
0.075,3.7364864,0.6666667,0.4044044,2,-0.075,1
0.1,3.7934873,0.6666667,0.4054054,2,-0.1,3
0.1,3.8053126,0.6666667,0.4064064,2,-0.1,4
0.1,4.0572805,1.0,0.4074074,3,-0.1,4
0.1,4.736816,1.0,0.4084084,3,-0.1,4
0.1,3.9138622,0.6666667,0.4094094,2,-0.1,4
0.1,4.384736,1.0,0.4104104,3,-0.1,4
0.1,3.2276995,0.6666667,0.4114114,2,-0.1,4
0.1,1.2959062,1.0,0.4124124,3,-0.1,4
0.1,1.5839975,1.0,0.4134134,3,-0.1,4
0.1,1.8138882,1.0,0.4144144,3,-0.1,4
0.1,2.1106248,1.0,0.4154154,3,-0.1,4
0.05,2.753841,0.0,0.4164164,0,-0.05,4
0.075,3.2821045,0.6666667,0.4174174,2,-0.075,2
0.075,1.448558,0.6666667,0.4184184,2,-0.075,3
0.075,1.8962535,1.0,0.4194194,3,-0.075,3
0.075,2.3648295,0.6666667,0.4204204,2,-0.075,3
0.175,1.4963111,0.6666667,0.4214214,2,-0.175,3
0.05,2.2963595,0.0,0.4224224,0,-0.05,7
0.05,3.0699441,0.6666667,0.4234234,2,-0.05,2
0.05,2.365614,0.6666667,0.4244244,2,-0.05,2
0.125,2.1579802,0.6666667,0.42542544,2,-0.125,2
0.05,3.1524475,0.6666667,0.42642644,2,-0.05,5
0.05,4.183786,0.6666667,0.42742744,2,-0.05,2
0.05,5.2081304,0.6666667,0.42842844,2,-0.05,2
