Queue length,Speed,Phase,Step,Action,Reward,Total Queue Length
0.25,1.9791154,0.0,0.22822823,0,-0.25,9
0.2,2.1810398,0.33333334,0.22922923,1,-0.2,10
0.2,2.1747296,1.0,0.23023023,3,-0.2,8
0.2,2.1110656,0.0,0.23123123,0,-0.2,8
0.15,2.4188106,0.0,0.23223223,0,-0.15,8
0.1,2.7060912,0.0,0.23323323,0,-0.1,6
0.15,2.5571737,0.0,0.23423423,0,-0.15,4
0.15,2.7470715,0.33333334,0.23523523,1,-0.15,6
0.1,2.676422,0.0,0.23623623,0,-0.1,6
0.1,2.9014776,0.0,0.23723723,0,-0.1,4
0.1,3.1307445,0.0,0.23823825,0,-0.1,4
0.1,3.172052,0.0,0.23923925,0,-0.1,4
0.125,1.863929,0.0,0.24024025,0,-0.125,4
0.2,1.7584087,0.0,0.24124125,0,-0.2,5
0.15,1.9446731,0.0,0.24224225,0,-0.15,8
0.175,2.1705184,0.0,0.24324325,0,-0.175,6
0.225,2.3235047,0.0,0.24424425,0,-0.225,7
0.3,2.2831578,0.0,0.24524525,0,-0.3,9
0.3,1.5644621,0.0,0.24624625,0,-0.3,12
0.3,1.8661538,0.33333334,0.24724725,1,-0.3,12
0.275,1.8221768,0.0,0.24824825,0,-0.275,12
0.2,1.7399483,1.0,0.24924925,3,-0.2,11
0.175,1.9161768,0.6666667,0.25025025,2,-0.175,8
0.2,1.7518338,0.0,0.25125125,0,-0.2,7
0.175,1.9846603,0.33333334,0.25225225,1,-0.175,8
0.175,2.0885766,0.0,0.25325325,0,-0.175,7
0.175,2.249732,0.0,0.25425425,0,-0.175,7
0.15,2.4329836,0.0,0.25525525,0,-0.15,7
0.175,2.4082894,0.0,0.25625625,0,-0.175,6
0.225,2.4952335,0.0,0.25725725,0,-0.225,7
0.225,1.5836004,0.33333334,0.25825825,1,-0.225,9
0.225,1.6903611,0.0,0.25925925,0,-0.225,9
0.25,1.8306482,0.0,0.26026025,0,-0.25,9
0.15,2.2146757,0.6666667,0.26126125,2,-0.15,10
0.15,2.4891095,0.0,0.26226225,0,-0.15,6
0.15,1.9937787,0.6666667,0.26326326,2,-0.15,6
0.2,2.0729232,1.0,0.26426426,3,-0.2,6
0.15,2.389715,0.6666667,0.26526526,2,-0.15,8
0.175,2.566843,0.6666667,0.26626626,2,-0.175,6
0.2,2.3926477,0.0,0.26726726,0,-0.2,7
0.225,2.1183336,0.33333334,0.26826826,1,-0.225,8
0.25,1.7364446,0.33333334,0.26926926,1,-0.25,9
0.275,1.3701332,0.33333334,0.27027026,1,-0.275,10
0.3,1.5548744,0.33333334,0.27127126,1,-0.3,11
0.2,1.8572619,0.6666667,0.27227226,2,-0.2,12
0.225,1.4015716,0.33333334,0.27327326,1,-0.225,8
0.225,1.660562,0.33333334,0.27427426,1,-0.225,9
0.225,2.060258,0.33333334,0.2752753,1,-0.225,9
0.2,2.691373,0.33333334,0.2762763,1,-0.2,9
0.2,3.2828286,0.33333334,0.2772773,1,-0.2,8
0.175,3.74465,0.6666667,0.2782783,2,-0.175,8
0.175,3.5767105,0.0,0.2792793,0,-0.175,7
0.175,3.2184582,0.0,0.2802803,0,-0.175,7
0.2,3.3328998,0.0,0.2812813,0,-0.2,7
0.25,3.0820255,0.0,0.2822823,0,-0.25,8
0.325,2.8840704,0.0,0.2832833,0,-0.325,10
0.375,2.1512988,0.0,0.2842843,0,-0.375,13
0.4,1.7340255,0.0,0.2852853,0,-0.4,15
0.4,1.3603652,0.0,0.2862863,0,-0.4,16
0.475,1.5218388,0.0,0.2872873,0,-0.475,16
0.525,1.0975976,0.0,0.2882883,0,-0.525,19
0.55,1.1521349,0.0,0.2892893,0,-0.55,21
0.55,0.75401306,0.0,0.2902903,0,-0.55,22
0.6,0.65356493,0.0,0.2912913,0,-0.6,22
0.6,0.68597597,0.0,0.2922923,0,-0.6,24
0.65,0.69583374,0.0,0.2932933,0,-0.65,24
0.65,0.7100978,0.0,0.2942943,0,-0.65,26
0.65,0.81064886,0.0,0.2952953,0,-0.65,26
0.65,0.8492315,0.0,0.2962963,0,-0.65,26
0.65,0.87471443,0.0,0.2972973,0,-0.65,26
0.6,0.5434849,0.33333334,0.2982983,1,-0.6,26
0.55,0.73766226,0.33333334,0.2992993,1,-0.55,24
0.5,0.96953577,0.33333334,0.3003003,1,-0.5,22
0.5,0.7277167,0.0,0.3013013,0,-0.5,20
0.35,0.91798985,1.0,0.3023023,3,-0.35,20
0.25,1.256426,0.0,0.3033033,0,-0.25,14
0.225,1.5897467,0.0,0.3043043,0,-0.225,10
0.225,1.8346502,0.0,0.3053053,0,-0.225,9
0.2,2.0518134,0.0,0.3063063,0,-0.2,9
0.225,2.2004793,0.0,0.3073073,0,-0.225,8
0.3,2.3629048,0.0,0.3083083,0,-0.3,9
0.425,1.5297115,0.0,0.3093093,0,-0.425,12
0.4,1.4486994,0.33333334,0.3103103,1,-0.4,17
0.375,1.5670065,0.0,0.3113113,0,-0.375,16
0.325,1.7893068,1.0,0.3123123,3,-0.325,15
0.3,1.0339687,0.0,0.3133133,0,-0.3,13
0.2,1.011263,1.0,0.3143143,3,-0.2,12
0.2,1.0611745,0.0,0.3153153,0,-0.2,8
0.2,1.3386945,0.33333334,0.3163163,1,-0.2,8
