Queue length,Speed,Phase,Step,Action,Reward
0.033333335,2.5110476,0.0,0.282,0,-0.033333335
0.075,1.865801,0.0,0.283,0,-0.075
0.075,1.4088807,0.0,0.284,0,-0.075
0.075,1.3817517,1.0,0.285,3,-0.075
0.06666667,1.4678378,0.33333334,0.286,1,-0.06666667
0.075,1.7790041,0.33333334,0.287,1,-0.075
0.083333336,2.0174034,0.0,0.288,0,-0.083333336
0.09166667,1.6461838,1.0,0.289,3,-0.09166667
0.09166667,1.9240272,0.0,0.29,0,-0.09166667
0.083333336,1.5831434,1.0,0.291,3,-0.083333336
0.075,1.6761975,1.0,0.292,3,-0.075
0.075,1.7689276,0.0,0.293,0,-0.075
0.083333336,1.8249581,0.33333334,0.294,1,-0.083333336
0.06666667,1.9791144,1.0,0.295,3,-0.06666667
0.075,1.5682985,0.33333334,0.296,1,-0.075
0.058333334,1.8920318,1.0,0.297,3,-0.058333334
0.05,2.2996292,0.0,0.298,0,-0.05
0.041666668,2.2866988,0.33333334,0.299,1,-0.041666668
0.041666668,2.5242813,0.0,0.3,0,-0.041666668
0.05,1.8963016,0.33333334,0.301,1,-0.05
0.025,2.318752,1.0,0.302,3,-0.025
0.025,2.549198,1.0,0.303,3,-0.025
0.016666668,3.0545447,1.0,0.304,3,-0.016666668
0.016666668,2.8526897,0.6666667,0.305,2,-0.016666668
0.025,2.761575,1.0,0.306,3,-0.025
0.025,2.9708357,0.33333334,0.307,1,-0.025
0.025,3.4733067,1.0,0.308,3,-0.025
0.0,4.0471854,0.6666667,0.309,2,-0.0
0.008333334,4.2142186,0.6666667,0.31,2,-0.008333334
0.016666668,4.4033904,0.0,0.311,0,-0.016666668
0.033333335,4.368323,0.33333334,0.312,1,-0.033333335
0.033333335,3.9865167,1.0,0.313,3,-0.033333335
0.016666668,3.2139158,0.6666667,0.314,2,-0.016666668
0.041666668,3.3786068,0.0,0.315,0,-0.041666668
0.05,2.2736788,1.0,0.316,3,-0.05
0.06666667,2.1155398,1.0,0.317,3,-0.06666667
0.06666667,2.328972,1.0,0.318,3,-0.06666667
0.041666668,2.4500885,0.33333334,0.319,1,-0.041666668
0.041666668,2.4873395,1.0,0.32,3,-0.041666668
0.033333335,2.860173,0.6666667,0.321,2,-0.033333335
0.016666668,2.9023492,1.0,0.322,3,-0.016666668
0.025,3.140923,0.6666667,0.323,2,-0.025
0.016666668,3.2867947,1.0,0.324,3,-0.016666668
0.008333334,3.6604645,0.6666667,0.325,2,-0.008333334
0.016666668,4.0486555,0.0,0.326,0,-0.016666668
0.025,3.989366,0.33333334,0.327,1,-0.025
0.025,3.0687904,1.0,0.328,3,-0.025
0.008333334,2.5029478,1.0,0.329,3,-0.008333334
0.008333334,2.8440576,0.0,0.33,0,-0.008333334
0.033333335,2.3685963,1.0,0.331,3,-0.033333335
0.025,1.9630051,0.33333334,0.332,1,-0.025
0.033333335,2.0584385,0.33333334,0.333,1,-0.033333335
0.041666668,2.1274838,0.33333334,0.334,1,-0.041666668
0.025,2.3363583,1.0,0.335,3,-0.025
0.008333334,2.781674,0.6666667,0.336,2,-0.008333334
0.016666668,2.8031826,0.33333334,0.337,1,-0.016666668
0.025,3.2970173,0.6666667,0.338,2,-0.025
0.033333335,3.0755358,0.6666667,0.339,2,-0.033333335
0.041666668,2.5875764,0.33333334,0.34,1,-0.041666668
0.033333335,2.5812852,0.6666667,0.341,2,-0.033333335
0.058333334,2.315973,0.6666667,0.342,2,-0.058333334
0.05,2.200759,1.0,0.343,3,-0.05
0.05,2.2118104,0.6666667,0.344,2,-0.05
0.041666668,2.4488227,0.33333334,0.345,1,-0.041666668
0.06666667,2.06412,0.6666667,0.346,2,-0.06666667
0.05,1.6797113,0.0,0.347,0,-0.05
