Queue length,Speed,Phase,Step,Action,Reward
0.025,4.402828,0.33333334,0.17,1,-0.025
0.016666668,3.622554,0.6666667,0.171,2,-0.016666668
0.016666668,4.39889,0.0,0.172,0,-0.016666668
0.016666668,5.348889,1.0,0.173,3,-0.016666668
0.016666668,4.828638,0.0,0.174,0,-0.016666668
0.016666668,5.536694,0.0,0.175,0,-0.016666668
0.016666668,3.997876,0.0,0.176,0,-0.016666668
0.016666668,4.463312,0.0,0.177,0,-0.016666668
0.008333334,5.2187867,0.6666667,0.178,2,-0.008333334
0.008333334,3.6770556,0.6666667,0.179,2,-0.008333334
0.0,4.6445894,1.0,0.18,3,-0.0
0.033333335,2.5506074,0.0,0.181,0,-0.033333335
0.0,3.7152748,0.33333334,0.182,1,-0.0
0.0,3.5073493,0.0,0.183,0,-0.0
0.016666668,3.4972637,0.33333334,0.184,1,-0.016666668
0.008333334,4.0370197,0.6666667,0.185,2,-0.008333334
0.0,5.1246414,0.0,0.186,0,-0.0
0.0,6.3119206,0.33333334,0.187,1,-0.0
0.0,7.6048894,0.6666667,0.188,2,-0.0
0.0,8.186185,0.0,0.189,0,-0.0
0.0,7.7647634,0.0,0.19,0,-0.0
0.0,6.136469,0.0,0.191,0,-0.0
0.0,5.592626,0.33333334,0.192,1,-0.0
0.008333334,5.475378,0.0,0.193,0,-0.008333334
0.008333334,4.7965965,0.0,0.194,0,-0.008333334
0.016666668,3.9912875,0.0,0.195,0,-0.016666668
0.016666668,4.397211,0.0,0.196,0,-0.016666668
0.025,4.956565,0.0,0.197,0,-0.025
0.025,5.457853,0.0,0.198,0,-0.025
0.025,5.9825583,0.0,0.199,0,-0.025
0.025,5.5650573,0.33333334,0.2,1,-0.025
0.025,4.908102,0.0,0.201,0,-0.025
0.025,5.397718,0.0,0.202,0,-0.025
0.025,0.0,0.0,0.203,0,-0.025
0.025,0.0,0.33333334,0.204,1,-0.025
0.008333334,0.6368429,0.6666667,0.205,2,-0.008333334
0.016666668,0.7362571,0.0,0.206,0,-0.016666668
0.016666668,1.0130175,0.0,0.207,0,-0.016666668
0.008333334,1.8997047,0.6666667,0.208,2,-0.008333334
0.008333334,2.5522542,0.0,0.209,0,-0.008333334
0.008333334,3.1176307,0.0,0.21,0,-0.008333334
0.041666668,1.6425098,0.6666667,0.211,2,-0.041666668
0.0,2.6112933,1.0,0.212,3,-0.0
0.008333334,3.4145775,0.0,0.213,0,-0.008333334
0.008333334,4.354871,0.6666667,0.214,2,-0.008333334
0.033333335,3.7327669,0.0,0.215,0,-0.033333335
0.008333334,4.7928467,0.0,0.216,0,-0.008333334
0.008333334,5.121962,0.0,0.217,0,-0.008333334
0.008333334,6.1912456,0.0,0.218,0,-0.008333334
0.008333334,6.5725317,0.0,0.219,0,-0.008333334
0.008333334,6.531766,0.0,0.22,0,-0.008333334
0.008333334,6.013705,0.6666667,0.221,2,-0.008333334
0.016666668,4.120826,0.0,0.222,0,-0.016666668
0.033333335,3.4877253,0.0,0.223,0,-0.033333335
0.025,2.895438,0.33333334,0.224,1,-0.025
0.025,2.8114026,0.0,0.225,0,-0.025
0.025,2.8320765,0.0,0.226,0,-0.025
0.025,2.8842635,0.0,0.227,0,-0.025
0.025,3.2639427,0.0,0.228,0,-0.025
0.033333335,3.4334931,0.0,0.229,0,-0.033333335
0.033333335,2.5428073,0.33333334,0.23,1,-0.033333335
0.033333335,3.0534716,0.0,0.231,0,-0.033333335
0.025,3.701156,1.0,0.232,3,-0.025
0.016666668,4.459937,0.33333334,0.233,1,-0.016666668
0.016666668,5.2007737,0.0,0.234,0,-0.016666668
0.0,3.2926738,0.6666667,0.235,2,-0.0
0.016666668,2.8404195,0.0,0.236,0,-0.016666668
0.008333334,3.8042748,0.6666667,0.237,2,-0.008333334
0.008333334,4.763195,0.0,0.238,0,-0.008333334
0.008333334,5.699406,0.0,0.239,0,-0.008333334
0.008333334,5.106577,0.33333334,0.24,1,-0.008333334
0.041666668,2.9941952,0.0,0.241,0,-0.041666668
0.008333334,3.8014698,0.0,0.242,0,-0.008333334
0.008333334,3.7971323,0.0,0.243,0,-0.008333334
0.008333334,4.9048166,0.0,0.244,0,-0.008333334
0.033333335,4.128223,0.6666667,0.245,2,-0.033333335
0.008333334,5.2493896,0.0,0.246,0,-0.008333334
0.008333334,5.4551687,0.0,0.247,0,-0.008333334
0.008333334,5.726614,0.0,0.248,0,-0.008333334
0.008333334,6.3267765,0.0,0.249,0,-0.008333334
0.008333334,5.6453805,0.0,0.25,0,-0.008333334
0.008333334,5.6318307,0.33333334,0.251,1,-0.008333334
0.016666668,5.5684395,0.0,0.252,0,-0.016666668
0.016666668,5.117555,0.33333334,0.253,1,-0.016666668
0.033333335,4.6813536,0.33333334,0.254,1,-0.033333335
0.025,4.968497,0.0,0.255,0,-0.025
