Queue length,Speed,Phase,Step,Action,Reward
0.008333334,4.6017537,0.0,0.214,0,-0.008333334
0.016666668,4.4097652,0.0,0.215,0,-0.016666668
0.0,5.521321,0.33333334,0.216,1,-0.0
0.0,5.9707437,0.6666667,0.217,2,-0.0
0.0,6.4054585,0.6666667,0.218,2,-0.0
0.0,7.546437,0.33333334,0.219,1,-0.0
0.0,7.798422,1.0,0.22,3,-0.0
0.0,6.5053864,0.6666667,0.221,2,-0.0
0.0,5.9883814,1.0,0.222,3,-0.0
0.008333334,5.1792817,0.6666667,0.223,2,-0.008333334
0.008333334,3.3750744,1.0,0.224,3,-0.008333334
0.0,2.9488215,0.33333334,0.225,1,-0.0
0.016666668,3.0988436,0.33333334,0.226,1,-0.016666668
0.008333334,3.933879,0.0,0.227,0,-0.008333334
0.016666668,4.472311,0.6666667,0.228,2,-0.016666668
0.025,3.570471,0.6666667,0.229,2,-0.025
0.025,4.158374,1.0,0.23,3,-0.025
0.008333334,5.220112,0.0,0.231,0,-0.008333334
0.008333334,4.9277835,0.33333334,0.232,1,-0.008333334
0.008333334,6.014598,0.0,0.233,0,-0.008333334
0.008333334,7.3306875,0.33333334,0.234,1,-0.008333334
0.008333334,7.228896,0.0,0.235,0,-0.008333334
0.0,8.484191,0.6666667,0.236,2,-0.0
0.0,8.312845,1.0,0.237,3,-0.0
0.0,8.804093,0.0,0.238,0,-0.0
0.0,7.93996,0.6666667,0.239,2,-0.0
0.0,9.135519,1.0,0.24,3,-0.0
0.033333335,1.4778309,0.33333334,0.241,1,-0.033333335
0.0,2.5094597,0.0,0.242,0,-0.0
0.0,3.6276865,0.33333334,0.243,1,-0.0
0.0,4.7929497,0.6666667,0.244,2,-0.0
0.025,3.7897956,0.33333334,0.245,1,-0.025
0.0,3.7568169,0.6666667,0.246,2,-0.0
0.0,4.9305468,0.6666667,0.247,2,-0.0
0.0,6.142105,1.0,0.248,3,-0.0
0.0,7.4938226,0.0,0.249,0,-0.0
0.0,7.7218018,0.33333334,0.25,1,-0.0
0.0,6.1180205,1.0,0.251,3,-0.0
0.0,5.062876,1.0,0.252,3,-0.0
0.0,4.9814677,0.33333334,0.253,1,-0.0
0.008333334,4.6652775,0.33333334,0.254,1,-0.008333334
0.008333334,4.4268174,1.0,0.255,3,-0.008333334
0.016666668,4.123365,0.33333334,0.256,1,-0.016666668
0.008333334,4.4069505,0.6666667,0.257,2,-0.008333334
0.025,3.270714,1.0,0.258,3,-0.025
0.016666668,4.0250335,0.6666667,0.259,2,-0.016666668
0.016666668,4.7581472,0.33333334,0.26,1,-0.016666668
0.016666668,5.6421003,1.0,0.261,3,-0.016666668
0.016666668,6.1675286,0.6666667,0.262,2,-0.016666668
0.016666668,5.4854083,1.0,0.263,3,-0.016666668
0.016666668,4.204528,0.6666667,0.264,2,-0.016666668
0.016666668,4.8590136,1.0,0.265,3,-0.016666668
0.0,3.9429173,0.0,0.266,0,-0.0
0.0,5.023825,1.0,0.267,3,-0.0
0.0,6.5249863,0.33333334,0.268,1,-0.0
0.0,7.595628,0.33333334,0.269,1,-0.0
0.0,8.199655,0.6666667,0.27,2,-0.0
0.033333335,2.5722985,0.6666667,0.271,2,-0.033333335
0.0,3.7067404,0.0,0.272,0,-0.0
0.0,4.9053617,0.33333334,0.273,1,-0.0
0.0,5.849129,0.6666667,0.274,2,-0.0
0.025,4.6177382,1.0,0.275,3,-0.025
0.0,4.920336,0.6666667,0.276,2,-0.0
0.0,5.174965,0.0,0.277,0,-0.0
0.0,6.4697747,1.0,0.278,3,-0.0
0.0,7.8822823,1.0,0.279,3,-0.0
0.0,7.563948,0.6666667,0.28,2,-0.0
0.0,6.896957,0.33333334,0.281,1,-0.0
0.0,6.3325233,0.6666667,0.282,2,-0.0
0.008333334,6.4390554,1.0,0.283,3,-0.008333334
0.0,6.3495097,0.6666667,0.284,2,-0.0
0.008333334,5.0553956,1.0,0.285,3,-0.008333334
0.008333334,4.9226108,0.6666667,0.286,2,-0.008333334
0.016666668,5.3286633,0.6666667,0.287,2,-0.016666668
0.016666668,3.0388665,1.0,0.288,3,-0.016666668
0.016666668,3.593149,1.0,0.289,3,-0.016666668
0.016666668,4.246035,0.33333334,0.29,1,-0.016666668
0.016666668,4.838679,0.6666667,0.291,2,-0.016666668
0.016666668,5.5160027,0.6666667,0.292,2,-0.016666668
0.016666668,6.134104,0.33333334,0.293,1,-0.016666668
0.016666668,5.0881944,0.6666667,0.294,2,-0.016666668
0.0,6.330892,0.0,0.295,0,-0.0
0.0,5.615817,0.0,0.296,0,-0.0
0.0,7.3733997,1.0,0.297,3,-0.0
0.0,6.45245,0.6666667,0.298,2,-0.0
0.0,8.2104225,0.6666667,0.299,2,-0.0
0.0,9.650049,1.0,0.3,3,-0.0
0.033333335,3.5835767,0.33333334,0.301,1,-0.033333335
0.0,4.488952,0.0,0.302,0,-0.0
0.0,3.9514139,1.0,0.303,3,-0.0
0.008333334,4.3673005,0.33333334,0.304,1,-0.008333334
0.025,4.0941877,0.33333334,0.305,1,-0.025
0.0,3.9929574,0.6666667,0.306,2,-0.0
0.0,5.2681513,0.6666667,0.307,2,-0.0
0.0,6.4168744,1.0,0.308,3,-0.0
0.0,7.567177,1.0,0.309,3,-0.0
0.0,6.8917,0.0,0.31,0,-0.0
0.0,6.3618765,1.0,0.311,3,-0.0
0.0,5.508469,0.0,0.312,0,-0.0
0.016666668,4.5741506,1.0,0.313,3,-0.016666668
0.025,4.8021674,0.0,0.314,0,-0.025
0.025,3.8080788,1.0,0.315,3,-0.025
0.025,3.1704214,1.0,0.316,3,-0.025
0.025,3.7877228,0.6666667,0.317,2,-0.025
0.025,4.3120646,0.6666667,0.318,2,-0.025
0.016666668,3.755445,0.0,0.319,0,-0.016666668
0.016666668,4.211716,0.0,0.32,0,-0.016666668
0.016666668,2.589166,0.0,0.321,0,-0.016666668
0.0,3.3764682,0.33333334,0.322,1,-0.0
0.016666668,3.7115586,1.0,0.323,3,-0.016666668
0.016666668,4.45689,1.0,0.324,3,-0.016666668
0.016666668,5.1814127,0.0,0.325,0,-0.016666668
0.016666668,5.835809,1.0,0.326,3,-0.016666668
0.0,5.303708,0.33333334,0.327,1,-0.0
0.0,4.200502,0.6666667,0.328,2,-0.0
0.0,5.362145,1.0,0.329,3,-0.0
0.0,6.3161826,0.0,0.33,0,-0.0
0.033333335,3.1706545,1.0,0.331,3,-0.033333335
0.0,4.198006,0.0,0.332,0,-0.0
0.0,4.014061,0.0,0.333,0,-0.0
0.0,5.081805,1.0,0.334,3,-0.0
0.025,4.080011,1.0,0.335,3,-0.025
0.0,5.2952914,0.6666667,0.336,2,-0.0
0.0,6.4893527,0.0,0.337,0,-0.0
0.0,6.1702094,0.0,0.338,0,-0.0
0.0,7.41256,0.0,0.339,0,-0.0
0.0,7.7437057,0.6666667,0.34,2,-0.0
0.008333334,6.9066205,0.33333334,0.341,1,-0.008333334
0.008333334,5.6799383,1.0,0.342,3,-0.008333334
0.008333334,4.970104,0.0,0.343,0,-0.008333334
0.016666668,4.585338,0.6666667,0.344,2,-0.016666668
0.016666668,4.082966,1.0,0.345,3,-0.016666668
0.008333334,3.7199192,0.33333334,0.346,1,-0.008333334
